IE_CODE;IE_XML_ID;Артикул;Название;Описание;Цена;Валюта;Бренд;Картинка1;Картинка2;Картинка3;Надкатегория;Категория;ID категории
OSN-1-600;OSN-1-600;OSN-1-600;Основание напольное ОНШ-1-600;Основание напольное для уличного размещения шкафов шириной до 600мм ОНШ-1-600;15400;RUB;;/upload/complect/osn-1.png;/upload/complect/osn-1.png;/upload/complect/osn-1.png;Аксессуары для термошкафов;Основание напольное;52
OSN-1-800;OSN-1-800;OSN-1-800;Основание напольное ОНШ-1-800;Основание напольное для уличного размещения шкафов шириной до 600мм ОНШ-1-800;18518;RUB;;/upload/complect/osn-1.png;/upload/complect/osn-1.png;/upload/complect/osn-1.png;Аксессуары для термошкафов;Основание напольное;52
МС -15;МС -15;МС -15;Полка перфорированная консольная МС -15;"Полка 10"" перфорированная консольная, 1U высота,глубина 150мм";435;RUB;;/upload/complect/consol-1.png;/upload/complect/consol-1.png;/upload/complect/consol-1.png;Аксессуары для термошкафов;Полки консольные;53
МС -20;МС -20;МС -20;Полка перфорированная консольная МС -20;" Полка 19"" перфорированная консольная, 2U высота, глубина 200мм";565,5;RUB;;/upload/complect/consol-1.png;/upload/complect/consol-1.png;/upload/complect/consol-1.png;Аксессуары для термошкафов;Полки консольные;53
МС-30;МС-30;МС-30;Полка перфорированная консольная МС-30;" Полка 19"" перфорированная консольная, 2U высота, глубина 300мм";689;RUB;;/upload/complect/consol-1.png;/upload/complect/consol-1.png;/upload/complect/consol-1.png;Аксессуары для термошкафов;Полки консольные;53
МС -40;МС -40;МС -40;Полка перфорированная консольная МС -40;" Полка 19"" перфорированная консольная, 2U высота, глубин  400мм";819;RUB;;/upload/complect/consol-1.png;/upload/complect/consol-1.png;/upload/complect/consol-1.png;Аксессуары для термошкафов;Полки консольные;53
МС-40-9005;МС-40-9005;МС-40-9005;Полка перфорированная консольная МС-40-9005;" Полка 19"" перфорированная консольная черная, 2U высота, глубин  400мм";871;RUB;;/upload/complect/consol-1.png;/upload/complect/consol-1.png;/upload/complect/consol-1.png;Аксессуары для термошкафов;Полки консольные;53
TK-01-35;TK-01-35;TK-01-35;TK01.35, Ручка дверная, L-122mm H-38mm (полиамид);TK01.35, Ручка дверная, L-122mm H-38mm (полиамид);;;;/upload/complect/ruchka-1.png;/upload/complect/ruchka-1.png;/upload/complect/ruchka-1.png;Аксессуары для термошкафов;Ручки дверные;54
TK-02-200;TK-02-200;TK-02-200;TK02.200, Ручка для шкафа L-200 mm H-55 mm;TK02.200, Ручка для шкафа, алюминий и пластик, L-200 mm H-55 mm;;;;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;Аксессуары для термошкафов;Ручки дверные;54
TK-02-300;TK-02-300;TK-02-300;TK02.300, Ручка для шкафа L-300 mm H-55 mm;TK02.300, Ручка для шкафа, алюминий и пластик, L-300 mm H-55 mm;;;;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;Аксессуары для термошкафов;Ручки дверные;54
TK-02-400;TK-02-400;TK-02-400;TK02.400, Ручка для шкафа L-400 mm H-55 mm;TK02.400, Ручка для шкафа, алюминий и пластик, L-400 mm H-55 mm;;;;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;Аксессуары для термошкафов;Ручки дверные;54
TK-02-500;TK-02-500;TK-02-500;TK02.500, Ручка для шкафа L-500 mm H-55 mm;TK02.500, Ручка для шкафа, алюминий и пластик, L-500 mm H-55 mm;;;;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;/upload/complect/ruchka-2.png;Аксессуары для термошкафов;Ручки дверные;54
