IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP85	IP_PROP95	IP_PROP96	IP_PROP97	IP_PROP43	IP_PROP44	IP_PROP45	IP_PROP46	IP_PROP47	IP_PROP50	IP_PROP107	IP_PROP59	IP_PROP105	IP_PROP102	IP_PROP99	IP_PROP130	IP_PROP124	IP_PROP114	IP_PROP134	IP_PROP132	IP_PROP139	IP_PROP110	IP_PROP98	IP_PROP51	IP_PROP111	IP_PROP106	IP_PROP60	IP_PROP137	IP_PROP127	IP_PROP129	IP_PROP135	IP_PROP136	IP_PROP126	IP_PROP128	IP_PROP112	IP_PROP100	IP_PROP131	IP_PROP103	IP_PROP101	IP_PROP104	IP_PROP52	IP_PROP93	IP_PROP125	IP_PROP133	IP_PROP138	IP_PROP108	IC_GROUP0	IC_GROUP1	IC_GROUP2
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/cea/cea29171948aa79332ac92935f284e9e.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/ca0/ca0b8cbe8e88af5b5fcd7a2baf87dc57.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/970/970b4499efcb6174309289f3523a32a2.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/667/667e699376e22fe43501f38057c45000.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/aa2/aa27fe51586b581c3533ec8534ad4063.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63787	Термошкаф  T-5050200-100	63787	Y					text	/upload/iblock/85e/85e8f9457a2f8d6e493c828a5f0b4588.png		html	T-5050200-100	500			500	500	200	itprom				T-5050200-100		Есть			Есть	Простая									/upload/iblock/832/8324a45aa6000093e43cb590d59ffbb3.png	IP55	Есть									100	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/3e2/3e2cbb5f419c9dde4c168c67b177d99d.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/d74/d74afda63f0b0ae69ac6cd8233c9895e.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/683/683d485872f711ca547ad6db878225ed.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63788	Термошкаф  T-5070200-150	63788	Y					text	/upload/iblock/8bd/8bd197cda3f2f194d9506bbb0c557d14.png		html	T-5070200-150	500			500	700	200	itprom				T-5070200-150		Есть			Есть	Простая									/upload/iblock/b1e/b1e6fa7aae5e4f20a40b601e7957a3d9.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
